Time_ns,QueueLength,Event
51571,99560,Enqu
51654,100608,Enqu
51682,100608,Dequ
51683,0,Recv
51737,100608,Enqu
51820,101656,Enqu
51849,101656,Dequ
51850,0,Recv
51903,101656,Enqu
51986,102704,Enqu
52016,102704,Dequ
52017,0,Recv
52069,102704,Enqu
52152,103752,Enqu
52183,103752,Dequ
52184,0,Recv
52235,103752,Enqu
52318,104800,Enqu
52350,104800,Dequ
52351,0,Recv
52401,104800,Enqu
52484,105848,Enqu
52517,105848,Dequ
52518,0,Recv
52567,105848,Enqu
52650,106896,Enqu
52684,106896,Dequ
52685,0,Recv
52733,106896,Enqu
52816,107944,Enqu
52851,107944,Dequ
52852,0,Recv
52899,107944,Enqu
52982,108992,Enqu
53018,108992,Dequ
53019,0,Recv
53065,108992,Enqu
53148,110040,Enqu
53185,110040,Dequ
53186,0,Recv
53231,110040,Enqu
53314,111088,Enqu
53352,111088,Dequ
53353,0,Recv
53397,111088,Enqu
53480,112136,Enqu
53519,112136,Dequ
53520,0,Recv
53563,112136,Enqu
53646,113184,Enqu
53686,113184,Dequ
53687,0,Recv
53729,113184,Enqu
53812,114232,Enqu
53853,114232,Dequ
53854,0,Recv
53895,114232,Enqu
53978,115280,Enqu
54020,115280,Dequ
54021,0,Recv
54061,115280,Enqu
54144,116328,Enqu
54187,116328,Dequ
54188,0,Recv
54227,116328,Enqu
54310,117376,Enqu
54354,117376,Dequ
54355,0,Recv
54393,117376,Enqu
54476,118424,Enqu
54521,118424,Dequ
54522,0,Recv
54559,118424,Enqu
54642,119472,Enqu
54688,119472,Dequ
54689,0,Recv
54725,119472,Enqu
54808,120520,Enqu
54855,120520,Dequ
54856,0,Recv
54891,120520,Enqu
54974,121568,Enqu
55022,121568,Dequ
55023,0,Recv
55057,121568,Enqu
55140,122616,Enqu
55189,122616,Dequ
55190,0,Recv
55223,122616,Enqu
55306,123664,Enqu
55356,123664,Dequ
55357,0,Recv
55389,123664,Enqu
55472,124712,Enqu
55523,124712,Dequ
55524,0,Recv
55555,124712,Enqu
55638,125760,Enqu
55690,125760,Dequ
55691,0,Recv
55721,125760,Enqu
55804,126808,Enqu
55857,126808,Dequ
