# Link Utilization Monitor
# Format: time: <timestamp_ns>
# node_id port_id tx_bytes_total tx_throughput_Gbps tx_util_percent
time: 2000000000
time: 2000100000
3 1 833160 2.2320 2.23
4 1 833700 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 37579544 100.3990 100.00
9 2 830100 2.2320 4.46
9 3 831180 2.2320 4.46
10 1 1662960 4.4640 4.46
10 2 18769552 50.1456 50.15
10 3 18770900 50.2534 50.25
10 4 0 0.0000 0.00
11 1 832860 2.2320 2.23
11 2 18750680 50.1456 100.00
12 1 832320 2.2320 2.23
12 2 18738548 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2003100000
0 1 0 0.0000 0.00
1 1 18989276 14.4506 28.90
2 1 19195566 30.9538 61.91
3 1 887520 4.3488 4.35
4 1 853380 1.5744 3.15
5 1 316780 25.3424 25.34
6 1 316780 25.3424 25.34
7 1 315432 25.2346 25.23
8 1 318128 25.4502 25.45
9 1 38184884 48.4272 48.43
9 2 843360 1.0608 2.12
9 3 851006 1.5861 3.17
10 1 1696226 2.6613 2.66
10 2 19195566 34.0811 34.08
10 3 18989318 17.4734 17.47
10 4 0 0.0000 0.00
11 1 852600 1.5792 1.58
11 2 19192870 35.3752 70.75
12 1 844552 0.9786 0.98
12 2 19978708 99.2128 99.21
12 3 10595 0.8476 0.85
12 4 10595 0.8476 0.85
12 5 10415 0.8332 0.83
12 6 10715 0.8572 0.86
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2003200000
0 1 0 0.0000 0.00
1 1 18990624 0.1078 0.22
2 1 19200958 0.4314 0.86
3 1 943620 4.4880 4.49
4 1 854640 0.1008 0.20
5 1 636256 25.5581 25.56
6 1 640300 25.8816 25.88
7 1 626820 24.9110 24.91
8 1 641648 25.8816 25.88
9 1 38191624 0.5392 0.54
9 2 845280 0.1536 0.31
9 3 854666 0.2928 0.59
10 1 1699946 0.2976 0.30
10 2 19200958 0.4314 0.43
10 3 18990666 0.1078 0.11
10 4 0 0.0000 0.00
11 1 854640 0.1632 0.16
11 2 19200958 0.6470 1.29
12 1 845452 0.0720 0.07
12 2 21239088 100.8304 100.00
12 3 24293 1.0958 1.10
12 4 25193 1.1678 1.17
12 5 23813 1.0718 1.07
12 6 25253 1.1630 1.16
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2003300000
0 1 0 0.0000 0.00
1 1 18991972 0.1078 0.22
2 1 19207698 0.5392 1.08
3 1 999660 4.4832 4.48
4 1 854880 0.0192 0.04
5 1 954384 25.4502 25.45
6 1 959776 25.5581 25.56
7 1 930120 24.2640 24.26
8 1 961124 25.5581 25.56
9 1 38198364 0.5392 0.54
